"TIME","CURRENCY","UNIT","STATINFO","Value","Flag and Footnotes"
"1999M01","Bulgarian lev","National currency","Average","1.9558",""
"1999M01","Bulgarian lev","National currency","Value at the end of the period","1.9558",""
"1999M01","Czech koruna","National currency","Average","35.741",""
"1999M01","Czech koruna","National currency","Value at the end of the period","36.827",""
"1999M01","Danish krone","National currency","Average","7.4412",""
"1999M01","Danish krone","National currency","Value at the end of the period","7.4359",""
"1999M01","Croatian kuna","National currency","Average","7.32210",""
"1999M01","Croatian kuna","National currency","Value at the end of the period","7.32670",""
"1999M01","Hungarian forint","National currency","Average","250.79",""
"1999M01","Hungarian forint","National currency","Value at the end of the period","249.24",""
"1999M01","Polish zloty","National currency","Average","4.1047",""
"1999M01","Polish zloty","National currency","Value at the end of the period","4.1610",""
"1999M01","Romanian leu","National currency","Average","1.3194",""
"1999M01","Romanian leu","National currency","Value at the end of the period","1.3280",""
"1999M01","Swedish krona","National currency","Average","9.0826",""
"1999M01","Swedish krona","National currency","Value at the end of the period","8.8800",""
"1999M01","Pound sterling","National currency","Average","0.70291",""
"1999M01","Pound sterling","National currency","Value at the end of the period","0.69100",""
"1999M01","Swiss franc","National currency","Average","1.6055",""
"1999M01","Swiss franc","National currency","Value at the end of the period","1.6123",""
"1999M01","Icelandic krona","National currency","Average","80.62",""
"1999M01","Icelandic krona","National currency","Value at the end of the period","79.59",""
"1999M01","Norwegian krone","National currency","Average","8.6512",""
"1999M01","Norwegian krone","National currency","Value at the end of the period","8.5785",""
"1999M01","Albanian lek","National currency","Average","162.19",""
"1999M01","Albanian lek","National currency","Value at the end of the period","158.58",""
"1999M01","Denar (of North Macedonia)","National currency","Average","60.6013",""
"1999M01","Denar (of North Macedonia)","National currency","Value at the end of the period","60.6030",""
"1999M01","Serbian dinar","National currency","Average","11.7350",""
"1999M01","Serbian dinar","National currency","Value at the end of the period","11.7350",""
"1999M01","Turkish lira","National currency","Average","0.3765",""
"1999M01","Turkish lira","National currency","Value at the end of the period","0.3779",""
"1999M01","Argentine peso","National currency","Average",":",""
"1999M01","Argentine peso","National currency","Value at the end of the period",":",""
"1999M01","Australian dollar","National currency","Average","1.8387",""
"1999M01","Australian dollar","National currency","Value at the end of the period","1.8087",""
"1999M01","Bosnia and Herzegovina convertible mark","National currency","Average","1.95583",""
"1999M01","Bosnia and Herzegovina convertible mark","National currency","Value at the end of the period","1.95583",""
"1999M01","Brazilian real","National currency","Average",":",""
"1999M01","Brazilian real","National currency","Value at the end of the period",":",""
"1999M01","Canadian dollar","National currency","Average","1.7646",""
"1999M01","Canadian dollar","National currency","Value at the end of the period","1.7260",""
"1999M01","Chinese renminbi-yuan","National currency","Average",":",""
"1999M01","Chinese renminbi-yuan","National currency","Value at the end of the period",":",""
"1999M01","Hong Kong dollar","National currency","Average","8.9942",""
"1999M01","Hong Kong dollar","National currency","Value at the end of the period","8.8192",""
"1999M01","Indonesian rupiah","National currency","Average","9,919.98",""
"1999M01","Indonesian rupiah","National currency","Value at the end of the period","10,158.00",""
"1999M01","Israeli shekel","National currency","Average",":",""
"1999M01","Israeli shekel","National currency","Value at the end of the period",":",""
"1999M01","Indian rupee","National currency","Average",":",""
"1999M01","Indian rupee","National currency","Value at the end of the period",":",""
"1999M01","Japanese yen","National currency","Average","131.35",""
"1999M01","Japanese yen","National currency","Value at the end of the period","132.10",""
"1999M01","South Korean won","National currency","Average","1,362.41",""
"1999M01","South Korean won","National currency","Value at the end of the period","1,337.33",""
"1999M01","Mexican peso","National currency","Average","11.8243",""
"1999M01","Mexican peso","National currency","Value at the end of the period","11.6205",""
"1999M01","Malaysian ringgit","National currency","Average","4.4094",""
"1999M01","Malaysian ringgit","National currency","Value at the end of the period","4.3249",""
"1999M01","New Zealand dollar","National currency","Average","2.1588",""
"1999M01","New Zealand dollar","National currency","Value at the end of the period","2.1107",""
"1999M01","Philippine peso","National currency","Average","44.524",""
"1999M01","Philippine peso","National currency","Value at the end of the period","43.819",""
