Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ABW,Aruba,346,Gross national savings (% of GDP),% of GDP,,,,,,,,,,,,,,,,29.56,26.397,26.537,27.714,26.185,29.193,25.655,22.449,21.46,25.298,24.188,22.899,21.865,22.762,17.803,12.387,12.536,9.456,9.989,13.026,15.466,17.221,17.044,18.203,19.872,19.228,18.487,17.654,16.826,15.808
ABW,Aruba,347,"Inflation, average consumer prices",Index,,,,,,,,,,,,,,,,71.533,73.822,76.034,77.46,79.223,82.431,84.813,87.612,90.815,93.112,96.275,99.75,105.137,114.554,112.109,114.436,119.442,120.159,117.308,117.787,118.354,117.303,116.728,120.796,122.46,124.789,127.376,130.091,132.896,135.769
ABW,Aruba,352,Population (WEO),Value,,,,,,,,,,,,,,,,80000,83000,86000,88000,90000,91000,92000,92000,93000,95000,98000,99000,100000,101000,102000,102000,103000,105000,106000,108000,109000,110000,111000,111000,112000,112000,112000,113000,113000,113000
ABW,Aruba,354,General government total expenditure,National Currency,,,,,,,,,,,,,,,,622000000,678000000,685000000,643000000,703000000,725000000,764000000,866000000,920000000,1180000000,1034000000,1098000000,1084000000,1291000000,1229000000,1337000000,1284000000,1440000000,1438000000,1491000000,1346000000,1342000000,1359000000,1431000000,1424000000,1448000000,1490000000,1531000000,1572000000,1614000000
ABW,Aruba,355,General government net lending/borrowing,National Currency,,,,,,,,,,,,,,,,-20000000,-58000000,-58000000,3000000,3000000,22000000,-28000000,-111000000,69000000,-344000000,-125000000,-112000000,-50000000,75000000,-120000000,-153000000,-304000000,-419000000,-295000000,-373000000,-78000000,-78000000,-143000000,-98000000,-43000000,-30000000,-26000000,-18000000,-9000000,2000000
ABW,Aruba,357,General government primary net lending/borrowing,National Currency,,,,,,,,,,,,,,,,8000000,-27000000,-23000000,43000000,47000000,63000000,19000000,-62000000,115000000,-258000000,-40000000,-15000000,57000000,214000000,-4000000,-26000000,-166000000,-269000000,-131000000,-185000000,122000000,140000000,80000000,122000000,189000000,197000000,209000000,221000000,235000000,249000000
ABW,Aruba,359,General government gross debt,National Currency,,,,,,,,,,,,,,,,1302000000,1353000000,1400000000,1223000000,1212000000,1295000000,1505000000,1653000000,1495000000,1717000000,1905000000,2012000000,2136000000,2051000000,2230000000,2401000000,2916000000,3068000000,3420000000,3869000000,3918000000,4012000000,4159000000,4257000000,4300000000,4331000000,4357000000,4375000000,4384000000,4382000000
ABW,Aruba,360,Gross domestic product corresponding to fiscal year,National Currency,,,,,,,,,,,,,,,,2364000000,2470000000,2742000000,2981000000,3084000000,3353000000,3437000000,3475000000,3618000000,3989000000,4172000000,4340000000,4681000000,4914000000,4473000000,4279000000,4564000000,4537000000,4618000000,4743000000,4818000000,4738000000,4834000000,5072000000,5146000000,5285000000,5457000000,5638000000,5826000000,6021000000
ABW,Aruba,2777,General government total expenditure,% of GDP,,,,,,,,,,,,,,,,26.332,27.458,24.989,21.574,22.798,21.606,22.229,24.923,25.419,29.593,24.782,25.291,23.159,26.261,27.478,31.247,28.142,31.742,31.144,31.431,27.932,28.312,28.124,28.209,27.669,27.405,27.304,27.158,26.986,26.804
ABW,Aruba,2779,General government net lending/borrowing,% of GDP,,,,,,,,,,,,,,,,-0.834,-2.343,-2.102,0.113,0.086,0.644,-0.825,-3.203,1.916,-8.632,-2.993,-2.589,-1.071,1.517,-2.688,-3.579,-6.651,-9.242,-6.396,-7.861,-1.625,-1.64,-2.963,-1.937,-0.838,-0.575,-0.474,-0.328,-0.155,0.027
ABW,Aruba,2783,General government primary net lending/borrowing,% of GDP,,,,,,,,,,,,,,,,0.339,-1.1,-0.851,1.446,1.539,1.884,0.547,-1.776,3.178,-6.479,-0.97,-0.345,1.213,4.359,-0.085,-0.614,-3.639,-5.923,-2.834,-3.905,2.532,2.959,1.647,2.415,3.676,3.732,3.828,3.927,4.03,4.132
ABW,Aruba,2787,General government gross debt,% of GDP,,,,,,,,,,,,,,,,55.095,54.771,51.068,41.039,39.288,38.613,43.776,47.582,41.309,43.05,45.654,46.37,45.62,41.743,49.856,56.104,63.887,67.62,74.045,81.586,81.326,84.677,86.042,83.941,83.572,81.949,79.839,77.605,75.251,72.788
ABW,Aruba,3092,"Inflation, average consumer prices",Percent change,,,,,,,,,,,,,,,,,3.2,2.996,1.875,2.277,4.049,2.89,3.3,3.656,2.529,3.396,3.61,5.4,8.957,-2.134,2.075,4.375,0.6,-2.372,0.408,0.481,-0.888,-0.49,3.485,1.377,1.902,2.073,2.132,2.156,2.162
ABW,Aruba,3296,Unemployment rate (% of total labor force) (WEO),%,,,,,,,,,,,,,,,,,,,3.25,4.793,6.923,6.489,8.131,11.4,9.5,8.8,9.3,5.71,6.9,10.3,10.6,8.879,9.607,7.599,7.451,7.298,7.694,8.923,,,,,,,
AFG,Afghanistan,345,Total investment (% of GDP),% of GDP,,,,,,,,,,,,,,,,,,,,,,,27.243,30.103,35.354,37.051,29.492,55.856,30.226,36.507,30.269,26.407,25.34,23.093,17.46,18.481,18.533,17.717,17.076,16.539,16.228,16.795,20.662,21.585,22.24
AFG,Afghanistan,346,Gross national savings (% of GDP),% of GDP,,,,,,,,,,,,,,,,,,,,,,,61.151,59.719,72.57,67.277,50.337,119.246,63.994,78.094,59.698,52.981,36.204,23.367,23.219,21.342,25.728,22.462,21.856,17.526,17.44,17.754,20.424,20.528,20.543
AFG,Afghanistan,347,"Inflation, average consumer prices",Index,,,,,,,,,,,,,,,,,,,,,,,31.263,42.413,49.351,54.566,58.269,63.327,80.057,74.604,76.229,85.227,90.717,97.417,101.97,101.296,105.736,110.998,111.693,113.815,117.799,123.099,129.254,135.717,142.503
AFG,Afghanistan,352,Population (WEO),Value,,,,,,,,,,,,,,,,,,,,,,,22203000,23116000,24019000,24861000,25631000,26617000,27294000,28004000,28803000,29709000,30697000,31732000,32758000,33736000,34656000,35530000,36020000,36510000,37000000,37514000,38028000,38543000,39057000
AFG,Afghanistan,354,General government total expenditure,National Currency,,,,,,,,,,,,,,,,,,,,,,,12411000000,26242000000,37101000000,47868000000,63294000000,91817000000,108251000000,128548000000,148052000000,183439000000,258689000000,278950000000,300521000000,318255000000,342771000000,356482000000,384515000000,399436000000,463894000000,522641000000,595873000000,686364000000,759223000000
AFG,Afghanistan,355,General government net lending/borrowing,National Currency,,,,,,,,,,,,,,,,,,,,,,,-176000000,-4624000000,-5891000000,-2941000000,2225000000,-10654000000,-20090000000,-10803000000,6560000000,-5618000000,1882000000,-7047000000,-20334000000,-16898000000,1556000000,-8653000000,12324000000,-12420000000,-34000000,-32000000,-15000000,-17000000,-19000000
AFG,Afghanistan,357,General government primary net lending/borrowing,National Currency,,,,,,,,,,,,,,,,,,,,,,,,,-5891000000,-2797000000,2364000000,-10524000000,-19994000000,-10691000000,6643000000,-4794000000,2660000000,-6075000000,-19935000000,-16270000000,2350000000,-7767000000,13113000000,-11879000000,433000000,601000000,981000000,1522000000,2125000000
AFG,Afghanistan,359,General government gross debt,National Currency,,,,,,,,,,,,,,,,,,,,,,,618456000000,595360000000,603134000000,629234000000,79485000000,86083000000,98622000000,98658000000,54873000000,62822000000,69968000000,77222000000,102928000000,112028000000,103151000000,96478000000,100388000000,102486000000,112140000000,125902000000,143272000000,163065000000,187128000000
AFG,Afghanistan,360,Gross domestic product corresponding to fiscal year,National Currency,,,,,,,,,,,,,,,,,,,,,,,178756000000,220013000000,246210000000,304926000000,345817000000,427495000000,517509000000,607227000000,711759000000,836222000000,1033590000000,1116830000000,1183040000000,1226570000000,1318480000000,1377540000000,1418130000000,1488860000000,1595050000000,1733540000000,1902110000000,2096950000000,2322650000000
