Series Name,"Series Code","Country Name","Country Code","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]"
GDP (current US$),"NY.GDP.MKTP.CD","Germany","DEU","1771671206875.68","1868945197407.19","2131571696931.75","2071323790370.28","2205074123177.05","2585792275146.72","2497244606186.64","2211989623279.95","2238990774702.68","2194204133816.32","1943145384190.16","1944107382550.34","2068624129493.69","2496128668171.56","2809187981127.39","2845802760850.64","2992196713084.93","3421229126745.14","3730027830672.33","3397791053070.3","3396354075663.73","3744408602683.94","3527344944139.83","3732743446218.92","3883920155292.26","3356235704119.75","3467498002104.33","3682602479929.42","3963767526250.98","3861123558039.21"
GDP (current US$),"NY.GDP.MKTP.CD","France","FRA","1269179616913.63","1269276828275.78","1401465923172.24","1322815612694","1393982750472.59","1601094756209.75","1605675086549.56","1452884917959.09","1503108739159.44","1492647560196.04","1362248940482.77","1376465324384.79","1494286655373.61","1840480812641.08","2115742488204.62","2196126103718.44","2318593651988.46","2657213249384.07","2918382891460.38","2690222283967.77","2642609548930.36","2861408170264.6","2683825225092.63","2811077725703.59","2852165760630.27","2438207896251.84","2471285607081.72","2595151045197.65","2787863958885.49","2715518274227.45"
GDP (current US$),"NY.GDP.MKTP.CD","Austria","AUT","166463386179.354","173794177961.108","195078126721.763","190379720809.18","203535242741.838","241038283062.645","237250948791.266","212790348404.555","218259904401.956","217185787342.851","196799778883.361","197337879194.631","213377771503.858","261695778781.038","300904221504.842","315974418604.651","335998557270.104","388691445387.353","430294287388.311","400172297860.517","391892746544.69","431120310088.82","409425234155.263","430068712971.867","441996131736.508","381817565893.574","395568644341.038","417237869115.93","455094861902.062","445075391688.156"
GDP (current US$),"NY.GDP.MKTP.CD","Belgium","BEL","205331747947.851","210510999409.333","234781652446.675","224721795708.955","244884129491.198","288025588396.278","279201433224.756","252708051420.839","258528339631.029","258158533986.789","236204532891.1","236541297539.15","257157820440.429","317381715575.621","368537000248.324","385570948886.954","407918078032.869","470324254037.777","515223524241.98","481345929424.84","480951629493.033","522645519183.591","496181260258.3","521642714407.843","534678075827.361","462149679343.822","475739588764.759","502698069366.942","543734366831.215","533097455834.509"
GDP (current US$),"NY.GDP.MKTP.CD","Denmark","DNK","138247285815.855","139224688814.195","152915654478.885","143195627014.605","156162386724.523","185006881515.065","187632346387.984","173537647058.824","176991934992.837","177965188354.692","164158739097.623","164791442543.375","178635163717.431","218096033517.009","251373002954.382","264467336457.17","282884947702.966","319423424509.066","353361038818.383","321241303699.006","321995279401.502","344003137611.271","327148943812.137","343584391647.927","352993631617.708","302673070846.857","313115929314.339","332121063806.391","356879499797.896","350104327658.675"
GDP (current US$),"NY.GDP.MKTP.CD","Cyprus","CYP","5591130217.66965","5770197348.48485","6912150456.32334","6590291048.29211","7425703928.57143","9933133247.08926","10011918444.1656","9547818700.11403","10248617647.0588","10497908306.3646","9985844486.33365","10397897085.6102","11420227884.6154","14547325028.3126","17320552500","18433411267.2553","20072786350.5206","23968764029.5647","27844698989.3072","25945391775.4932","25732432719.0773","27565469097.9955","24978513426.6992","23900872625.8467","23156850006.6427","19842404304.8929","20953442550.3653","22729184365.1152","25309818138.8758","24948935408.0376"
GDP (current US$),"NY.GDP.MKTP.CD","Croatia","HRV","NA","NA","NA","NA","NA","22534323220.0266","23846442648.9653","23869243597.654","25562674678.2302","23457038980.352","21633671680.8738","23054778851.2787","26813968850.5192","34682900712.6654","41587470546.7946","45376744001.8044","50423077102.0764","60073426976.5069","70234425974.0453","62600093958.9538","59918313669.1671","62537851352.4904","56580819623.8529","58194069434.1423","57639588805.5871","49525747503.8149","51601147665.8089","55481644098.0495","61375222347.0256","60752588976.3175"
GDP (current US$),"NY.GDP.MKTP.CD","Bulgaria","BGR","20632090909.0909","10943548387.0968","10350515463.9175","10829710144.9275","9697416974.16974","18983303571.4286","12294221472.7375","11315986087.1633","15030695296.5235","13627323284.5405","13245833843.5454","14183497963.1071","16402846413.0958","21144983551.6823","26157894736.8421","29869283400.0381","34379808888.6039","44405101469.5591","54438966419.8639","52023504656.2878","50381825504.2642","57386216850.3377","54033250328.5151","55615397665.5809","56901994980.3283","50647442756.7445","53806894796.3801","58971520599.2509","66230155099.5775","68558815111.6199"
GDP (current US$),"NY.GDP.MKTP.CD","Czech Republic","CZE","40728950704.6176","29859921158.8696","34805013229.572","40866748705.1075","47850203856.1751","60147174076.8651","67387788632.9812","62180159376.1239","66807429711.411","65173130995.2212","61828166496.0941","67808032979.5429","82196001050.7474","100090467581.268","119814434353.575","137143471328.274","156264095664.643","190183800884.018","236816485762.988","207434296805.33","209069940963.177","229562733398.948","208857719320.649","211685616592.931","209358834156.329","188033050459.881","196272068576.338","218628940951.675","248908731817.502","250680504529.647"
GDP (current US$),"NY.GDP.MKTP.CD","Estonia","EST","NA","NA","NA","4006983328.923","4116734613.10113","4497823760.81825","4780170373.2605","5147710775.4734","5665917232.17266","5762048551.95911","5694069842.43988","6259257899.91943","7372457379.67411","9877636630.53297","12144397515.528","14098326078.8459","17012322167.8585","22445583082.398","24371299252.9662","19744110864.1289","19693608289.0773","23391530006.3166","23192708981.8446","25271406707.566","26773473625.1921","23048864242.6072","24259552888.9717","26951648828.5789","30631142226.8533","31471100656.2431"
