"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","GGDEBT","TOT","PC_GDP","A","2000",62.60947,
"DEU","GGDEBT","TOT","PC_GDP","A","2001",61.26124,
"DEU","GGDEBT","TOT","PC_GDP","A","2002",64.09878,
"DEU","GGDEBT","TOT","PC_GDP","A","2003",66.91961,
"DEU","GGDEBT","TOT","PC_GDP","A","2004",68.85897,
"DEU","GGDEBT","TOT","PC_GDP","A","2005",71.42799,
"DEU","GGDEBT","TOT","PC_GDP","A","2006",68.79233,
"DEU","GGDEBT","TOT","PC_GDP","A","2007",66.18103,
"DEU","GGDEBT","TOT","PC_GDP","A","2008",70.70988,
"DEU","GGDEBT","TOT","PC_GDP","A","2009",77.57876,
"DEU","GGDEBT","TOT","PC_GDP","A","2010",87.40637,
"DEU","GGDEBT","TOT","PC_GDP","A","2011",86.40907,
"DEU","GGDEBT","TOT","PC_GDP","A","2012",88.85776,
"DEU","GGDEBT","TOT","PC_GDP","A","2013",84.32757,
"DEU","GGDEBT","TOT","PC_GDP","A","2014",84.10702,
"DEU","GGDEBT","TOT","PC_GDP","A","2015",80.0452,
"DEU","GGDEBT","TOT","PC_GDP","A","2016",77.22083,
"DEU","GGDEBT","TOT","PC_GDP","A","2017",72.78644,
"DEU","GGDEBT","TOT","PC_GDP","A","2018",69.58807,
"DEU","GGDEBT","TOT","PC_GDP","A","2019",68.22754,
